critic_input_mode,clip_range,seed,actor_loss,critic_loss,entropy,total_env_steps,completed_episodes
global,0.05,42,-0.02918597646057606,0.41432352662086486,2.911481428146362,51200,40
global,0.1,42,-0.03092910572886467,0.37670976519584654,3.0921780586242678,51200,38
agent_specific,0.05,42,-0.029525893181562422,0.5634229779243469,2.948226881027222,51200,39
agent_specific,0.1,42,-0.03150979876518249,0.2662145793437958,3.1371379852294923,51200,40
